movie_id,title,release_year,budget,revenue,vote_average,vote_count,production_company
1,Galactic Rift,2020,120000000,450000000,8.2,12000,1
2,Love in Paris,2018,30000000,85000000,7.5,8000,3
3,The Last Stand,2015,50000000,150000000,7.9,9500,5
4,Robot Rebellion,2021,100000000,400000000,8.5,15000,2
5,Laugh Factory,2019,20000000,60000000,6.8,5000,4
6,Desert Mirage,2017,25000000,70000000,7.2,6200,1
7,Quantum Pulse,2022,130000000,500000000,8.7,18000,1
8,Midnight Sonata,2016,40000000,95000000,7.6,7200,1
9,Echoes of Eden,2022,45000000,120000000,7.6,8700,3
10,Neon Nights,2020,60000000,200000000,8.0,11000,4
11,Crimson Tide,2014,55000000,160000000,7.8,9400,3
12,Broken Vows,2019,35000000,90000000,7.3,6800,5
13,Cyber Saints,2021,95000000,300000000,8.4,14000,5
14,Velvet Horizon,2016,28000000,75000000,7.1,6100,2
15,Savage Moon,2015,70000000,220000000,8.1,10000,3
16,Paper Hearts,2018,32000000,88000000,7.4,7300,4
17,Titan's Wrath,2022,140000000,520000000,8.8,19000,4
18,Silent Echo,2017,26000000,68000000,7.0,5900,5
19,Firelight,2020,48000000,130000000,7.7,9200,3
20,Dreamcatcher,2019,30000000,85000000,7.5,8000,1
